,date,total_visits,most_visited_url,most_visited_count,study(%),entertainment(%),other_broad(%),coding(%),streaming(%),medical(%),financial(%),educational(%),gaming(%),social_media(%),news_media(%),other_narrow(%)
0,2023-11-04,79,google.com,22,0,0.1013,0.8987,0,0.0127,0,0,0,0,0,0,0.9873
1,2023-11-05,72,google.com,23,0.0417,0.0972,0.8611,0,0.0417,0,0,0.0417,0.0278,0,0,0.8889
2,2023-11-06,38,google.com,14,0,0.3158,0.6842,0,0.2895,0,0,0,0,0,0,0.7105
3,2023-11-07,15,netflix.com,9,0,0.6,0.4,0,0.6,0,0,0,0,0,0,0.4
4,2023-11-08,40,youtube.com,24,0,0.825,0.175,0,0.225,0,0,0,0,0,0,0.775
5,2023-11-09,82,google.com,28,0,0.2805,0.7195,0,0.0732,0,0,0,0,0.0488,0,0.878
6,2023-11-10,56,google.com,14,0,0.2679,0.7321,0,0.0893,0,0,0,0,0,0,0.9107
7,2023-11-11,116,pizzapizza.ca,32,0,0.1379,0.8621,0,0.0259,0,0,0,0,0,0,0.9741
8,2023-11-12,76,bilibili.com,14,0,0.0132,0.9868,0,0.0,0,0,0,0,0.0132,0,0.9868
9,2023-11-13,91,netflix.com,25,0,0.4505,0.5495,0,0.2747,0,0,0,0,0,0,0.7253
10,2023-11-14,64,netflix.com,31,0,0.5,0.5,0,0.4844,0,0,0,0,0,0,0.5156
11,2023-11-15,77,netflix.com,41,0,0.6883,0.3117,0,0.5325,0,0,0,0,0.013,0,0.4545
12,2023-11-16,39,netflix.com,15,0,0.5641,0.4359,0,0.3846,0,0,0,0,0,0,0.6154
13,2023-11-17,5,youtube.com,5,0,1.0,0.0,0,0.0,0,0,0,0,0,0,1.0
14,2023-11-18,125,u.gg,33,0,0.096,0.904,0,0.08,0,0,0,0,0,0,0.92
15,2023-11-19,303,mail.google.com,178,0,0.033,0.967,0,0.0099,0,0,0,0,0,0,0.9901
16,2023-11-20,87,netflix.com,28,0,0.4713,0.5287,0,0.3908,0,0,0,0,0,0,0.6092
17,2023-11-21,52,youtube.com,11,0,0.4423,0.5577,0,0.2308,0,0,0,0,0,0,0.7692
18,2023-11-22,86,google.com,25,0,0.3605,0.6395,0,0.1047,0,0,0,0,0.0116,0,0.8837
19,2023-11-23,79,google.com,20,0,0.3671,0.6329,0,0.2405,0,0,0,0,0,0,0.7595
20,2023-11-24,51,google.com,20,0,0.1961,0.8039,0,0.098,0,0,0,0,0,0,0.902
21,2023-11-25,20,google.com,8,0,0.2,0.8,0,0.0,0,0,0,0,0,0,1.0
22,2023-11-26,118,mail.google.com,30,0,0.1949,0.8051,0,0.0508,0,0,0,0,0,0,0.9492
23,2023-11-27,160,ralphlauren.ca,98,0,0.175,0.825,0,0.1688,0,0,0,0,0,0,0.8313
24,2023-11-28,87,google.com,25,0,0.1724,0.8276,0,0.1494,0,0,0,0,0.1264,0,0.7241
25,2023-11-29,41,netflix.com,22,0,0.5366,0.4634,0,0.5366,0,0,0,0,0,0,0.4634
26,2023-11-30,83,youtube.com,15,0,0.3253,0.6747,0,0.1446,0,0,0,0,0,0,0.8554
27,2023-12-01,58,iyf1.tv,13,0,0.1897,0.8103,0,0.0862,0,0,0,0,0,0,0.9138
28,2023-12-02,63,amazon.ca,27,0,0.3016,0.6984,0,0.0159,0.0476,0,0,0,0,0,0.9365
29,2023-12-03,139,google.com,36,0,0.0719,0.9281,0,0.0144,0,0,0,0,0.223,0,0.7626
30,2023-12-04,89,jiaoyimao.com,26,0.1573,0.1573,0.6854,0.0899,0.0225,0,0,0.0674,0,0,0,0.8202
